bulk0,bulk1,bulk2,bulk3,client_bulks,client_bulksize_avg,client_bulksize_dev,client_bytes,client_packet0,client_packet1,client_packets,client_packetsize_avg,client_packetsize_dev,client_payload,is_tcp,proto,server_bulks,server_bulksize_avg,server_bulksize_dev,server_bytes,server_packet0,server_packet1,server_packets,server_packetsize_avg,server_packetsize_dev,server_payload,subproto
47,19,197,1187,594,907.3518518518518,1650.889615020162,1019639,79,32,15021,67.8809000732308,15.394040889984318,538967,1,RDP,593,1483.1838111298482,11814.619615799946,1137280,32,51,8051,141.25947087318346,424.23867659822884,879528,
185,2408,1235,258,7,419.42857142857144,541.5709575307897,19296,205,20,818,23.589242053789732,48.48496837273615,2936,1,SSL,6,403776.0,901606.7060352128,2455056,20,2428,1620,1515.4666666666667,281.57708985438467,2422656,
517,156,1686,69,65,1150.876923076923,3461.2536213062913,108055,549,32,1039,103.9990375360924,254.160568935798,74807,1,SSL,64,31179.8125,28012.19211113428,2052244,32,188,1773,1157.4980259447264,652.0208549475785,1995508,GMail
190,5299,126,258,23,475.3478260869565,454.5094449389939,31225,222,32,627,49.8006379585327,77.80624608228807,10933,1,SSL,23,67139.82608695653,178730.90045473687,1578744,1480,1480,1079,1463.1547729379054,233.46669571936783,1544216,
217,102441,255,370385,3,580.3333333333334,487.20791819874563,23889,249,32,606,39.42079207920792,53.91889303792611,1741,1,HTTP,3,466772.6666666667,343652.1738272904,1429054,32,1480,898,1591.3741648106904,418.978998523037,1400318,UbuntuONE
47,19,197,1187,317,939.0441640378549,2023.0999696032145,558829,79,32,8161,68.47555446636441,16.657183250580104,297677,1,RDP,316,1104.509493670886,5257.508470704553,486853,32,51,4306,113.0638643752903,373.8340491353297,349025,
192,3179,93,284,51,454.4901960784314,456.346418661801,42283,224,32,597,70.82579564489112,141.75095462440373,23179,1,SSL,50,18963.88,31777.942246558378,977922,32,1450,929,1052.6609257265877,641.2296198668789,948194,GMail
349,6581,338,2404,34,448.88235294117646,59.81823679520483,26526,381,32,352,75.35795454545455,133.89672175156537,15262,1,HTTP,34,26573.352941176472,75109.55249221841,923302,32,1480,619,1491.6025848142165,415.77489839124786,903494,
185,2409,540,365,6,155.33333333333334,179.19232374431917,6392,205,20,273,23.413919413919412,23.648387960627737,932,1,SSL,5,169567.8,337703.7510845267,859239,20,1480,570,1507.4368421052632,599.9867399504288,847839,
192,3177,1473,353,35,517.8,524.068632364666,32651,224,32,454,71.91850220264317,153.7234055978256,18123,1,SSL,34,21558.58823529412,31102.438989966162,754656,32,1450,677,1114.7060561299852,657.087709337526,732992,GMail
53,19,197,1187,167,568.4071856287425,1562.5991059566081,182700,85,32,2743,66.60590594239883,28.40918261228943,94924,1,RDP,166,2190.9036144578313,8122.948049495713,414878,32,51,1600,259.29875,606.346454799925,363690,
517,156,783,242081,3,672.0,112.96312082563347,6656,537,20,232,28.689655172413794,74.88069980528606,2016,1,SSL,3,224319.33333333334,176225.54186483737,682018,20,176,453,1505.5584988962473,394.35394311436,672958,
491,4320,491,4319,72,475.9583333333333,41.38653749845608,45181,523,32,341,132.49560117302053,195.17686725491345,34269,1,HTTP,72,8267.875,38674.202401075774,609335,32,1480,439,1388.006833712984,979.1906133927599,595287,
517,6092,697,4478,18,764.0,163.43806166251483,23740,549,32,302,78.6092715231788,183.70062650666037,13752,1,SSL,18,32560.88888888889,79959.69111363334,599568,32,1430,421,1424.1520190023753,515.8724185175391,586096,
189,6044,523,219805,5,395.2,113.15900317694567,7076,209,20,255,27.749019607843138,53.489377257834924,1976,1,SSL,5,120396.2,148417.29317758087,610241,20,1430,413,1477.5811138014528,359.31789203541473,601981,
196,3539,512,2965,4,354.25,111.92491903057156,8937,216,20,320,27.928125,38.400819769692085,1417,1,SSL,4,148559.5,252372.19384324018,602338,20,1480,405,1487.2543209876544,427.30799256042525,594238,
