bulk0,bulk1,bulk2,bulk3,client_bulks,client_bulksize_avg,client_bulksize_dev,client_bytes,client_packet0,client_packet1,client_packets,client_packetsize_avg,client_packetsize_dev,client_payload,is_tcp,proto,server_bulks,server_bulksize_avg,server_bulksize_dev,server_bytes,server_packet0,server_packet1,server_packets,server_packetsize_avg,server_packetsize_dev,server_payload,subproto
44,56,269,1170,30696,482.18771175397444,419.1204124509747,20511634,76,32,166699,123.04593308898073,227.21688465931226,14801234,1,OpenVPN,30696,12541.585874381028,7800.560051730599,393848544,32,88,276863,1422.5394653673477,274.3737999740608,384976520,
517,147,1310,383181,29,1303.448275862069,474.18675109161416,414736,549,32,11144,37.21608040201005,64.63934379730583,37800,1,SSL,28,1061313.357142857,835792.5128338721,30374438,32,179,20552,1477.9310042818217,50.60660839224189,29716774,YouTube
30,30,321,269,5982,29.74122367101304,145.33816008894996,226880,38,329,6121,37.06583891520993,95.75351640415282,177912,0,BitTorrent,5981,3697.4133088112358,1562.5922021711258,22238941,38,277,15589,1426.5790621592148,74.03707845533269,22114229,
30,30,129,476,2744,30.13884839650146,108.11311040944842,105581,38,137,2860,36.91643356643357,73.44200658571698,82701,0,BitTorrent,2743,3618.0142180094786,1795.3191577079983,9981125,38,28,7114,1403.0257239246557,95.88945459466855,9924213,
211,3694,1259,67361,13,1158.3846153846155,563.1080697564652,154863,243,32,3162,48.97628083491461,75.98950296416515,15059,1,SSL,12,514043.0833333333,663066.3999136208,6305553,32,1480,4282,1472.5719290051377,94.47120998280744,6168517,YouTube
517,156,1291,69,15,751.4666666666667,804.7539472134047,46096,537,20,1577,29.23018389346861,68.81070246075898,11272,1,SSL,14,283284.21428571426,691099.1173878832,4023867,20,176,2767,1454.2345500542103,172.6911366776854,3965979,
199,3002,1550,258,23,651.1739130434783,953.3657381214299,38133,231,32,642,59.39719626168224,124.84674539761063,14977,1,SSL,23,50225.782608695656,64347.718167007035,1182905,1480,1480,863,1370.6894553881807,345.20598713008525,1155193,
193,6215,1441,319,8,307.625,442.4720153580337,15689,225,32,413,37.987893462469735,31.276589248666678,2461,1,SSL,8,129726.5,336359.4580002917,1061172,32,1480,730,1453.6602739726027,184.92124850289687,1037812,
188,5154,657,6129,6,175.83333333333334,221.19555199465972,9795,208,20,437,22.414187643020593,22.304017146285897,1055,1,SSL,5,200368.8,384793.5223604472,1015784,20,20,697,1457.3658536585365,167.897598545359,1001844,
517,156,1662,69,20,550.15,493.77993833285694,23675,549,32,396,59.785353535353536,128.8520484569092,11003,1,SSL,19,49322.73684210526,126656.3048925556,960940,32,188,744,1291.5860215053763,424.6385852512364,937132,Google
196,5657,1354,242,37,461.97297297297297,628.3160457314407,29841,228,32,386,77.30829015544042,140.3677102340529,17093,1,SSL,37,20017.72972972973,40987.447194825094,760080,32,1480,579,1312.7461139896373,428.1015602688082,740656,
191,4146,596,336,14,290.0,269.6836771372819,13436,223,32,293,45.85665529010239,44.216114444014934,4060,1,SSL,13,47676.0,114574.74814017535,634316,32,1480,454,1397.171806167401,313.22585691956095,619788,
223,4022,2097,284,17,309.52941176470586,514.4791904151637,17814,255,32,337,52.86053412462908,76.21935479140826,5262,1,SSL,16,30533.0625,95869.75091463205,501329,32,1450,400,1253.3225,468.60472521491926,488529,YouTube
191,4146,577,365,25,243.92,169.80787260901658,16678,223,32,316,52.778481012658226,56.89215018017034,6098,1,SSL,24,18354.625,71462.36585365084,451723,32,1480,350,1290.6371428571429,448.9215423566091,440511,
189,4126,614,353,10,195.2,163.52113013308096,7868,221,32,176,44.70454545454545,39.2816632826047,1952,1,SSL,9,43807.77777777778,40390.72225366661,404010,32,1450,304,1328.9802631578948,378.84557974809155,394270,YouTube
1034,156,997,107,9,275.44444444444446,396.985337291809,5079,537,537,130,39.06923076923077,72.2819467258956,2479,1,SSL,8,36993.5,97559.30653453826,300308,20,176,218,1377.559633027523,358.65820102083035,295948,
187,4161,712,343,11,246.54545454545453,204.6968328734711,6952,207,20,212,32.79245283018868,50.42446564410038,2712,1,SSL,10,28204.1,78315.1434697658,286541,20,1480,225,1273.5155555555555,487.11215316190237,282041,
187,4158,734,343,10,256.8,228.3167974547646,6648,207,20,204,32.588235294117645,50.50118479316365,2568,1,SSL,9,31399.88888888889,81954.66932863211,287019,20,1480,221,1298.7285067873304,457.79616534694526,282599,
197,3403,484,771,16,600.1875,653.4045663627934,17323,229,32,239,72.48117154811716,129.46703858757195,9603,1,SSL,15,16959.666666666668,19332.985545147676,261975,32,1480,235,1114.787234042553,577.3383659286818,254395,
