bulk0,bulk1,bulk2,bulk3,client_bulks,client_bulksize_avg,client_bulksize_dev,client_bytes,client_packet0,client_packet1,client_packets,client_packetsize_avg,client_packetsize_dev,client_payload,is_tcp,proto,server_bulks,server_bulksize_avg,server_bulksize_dev,server_bytes,server_packet0,server_packet1,server_packets,server_packetsize_avg,server_packetsize_dev,server_payload,subproto
55,0,0,0,1,55.0,0.0,95,75,20,2,47.5,27.5,55,1,SSL,0,,,40,20,20,2,20.0,0.0,0,Google
35,39,35,39,3,35.0,0.0,225,55,20,6,37.5,17.5,105,1,SSL,3,39.0,0.0,177,59,59,3,59.0,0.0,117,
41,105,0,0,1,41.0,0.0,49,49,0,1,49.0,0.0,41,0,DNS,1,105.0,0.0,113,113,0,1,113.0,0.0,105,Google
33,124,0,0,1,33.0,0.0,41,41,0,1,41.0,0.0,33,0,DNS,1,124.0,0.0,132,132,0,1,132.0,0.0,124,GMail
43,59,0,0,1,43.0,0.0,51,51,0,1,51.0,0.0,43,0,DNS,1,59.0,0.0,67,67,0,1,67.0,0.0,59,Google
224,5239,490,29068,3,240.0,197.9158070156769,1132,244,20,20,56.6,92.71105651431223,720,1,SSL,3,11446.0,12640.72727338107,35090,20,1480,34,1032.0588235294117,642.1797870477812,34338,
38,134,0,0,1,38.0,0.0,46,46,0,1,46.0,0.0,38,0,DNS,1,134.0,0.0,142,142,0,1,142.0,0.0,134,Google
224,5239,505,33604,4,273.25,184.97888393003132,1473,244,20,19,77.52631578947368,120.77398134795888,1093,1,SSL,4,9961.75,13790.193750905026,40583,20,1480,35,1159.5142857142857,563.1136587342393,39847,
1,124,268,2,5,108.8,129.9929228842863,872,21,288,14,62.285714285714285,92.27244486645323,544,1,SMB,4,63.0,61.0,668,32,144,16,41.75,39.00240377207538,252,
41,0,0,0,1,41.0,0.0,49,49,0,1,49.0,0.0,41,0,DNS,0,,,0,0,0,0,,,0,
66,0,0,0,1,66.0,0.0,82,41,41,2,41.0,0.0,66,0,LLMNR,0,,,0,0,0,0,,,0,
346,95754,365,2834,5,294.6,145.17382684216875,2685,366,20,60,44.75,91.31677921754942,1473,1,HTTP,4,48971.5,46771.13263809206,198994,20,1480,150,1326.6266666666668,436.61539973859016,195886,
48,0,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,0,,,0,0,0,0,,,0,
37,157,0,0,1,37.0,0.0,45,45,0,1,45.0,0.0,37,0,DNS,1,157.0,0.0,165,165,0,1,165.0,0.0,157,Google
48,0,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,0,,,0,0,0,0,,,0,
95,0,0,0,1,95.0,0.0,155,84,51,3,51.666666666666664,26.132142830026183,95,1,SSL,0,,,60,20,20,3,20.0,0.0,0,
0,0,0,0,0,,,0,0,0,0,,,0,1,SSL,0,,,0,0,0,0,,,0,
31,35,31,35,16,31.0,0.0,1148,51,20,32,35.875,15.26382570000064,496,1,SSL,16,37.1875,8.472151069828724,935,55,55,17,55.0,0.0,595,Github
95,0,0,0,1,95.0,0.0,155,84,51,3,51.666666666666664,26.132142830026183,95,1,SSL,0,,,60,20,20,3,20.0,0.0,0,
517,137,538,566,6,426.1666666666667,177.23564038370563,2817,537,71,13,216.69230769230768,236.2372942013975,2557,1,SSL,5,480.2,171.60000000000002,2681,20,157,14,191.5,251.9100604807767,2401,
207,1179,171,282,2,189.0,18.0,458,227,154,4,114.5,81.3218912716619,378,1,SSL,2,730.5,448.5,1581,20,1199,6,263.5,430.8540936326357,1461,
48,0,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,0,,,0,0,0,0,,,0,
517,156,560,210,7,448.85714285714283,181.6357647062058,3462,537,71,16,216.375,246.5121383928183,3142,1,SSL,7,171.28571428571428,60.58692524137598,1499,176,20,15,99.93333333333334,94.94803256986893,1199,
517,156,1841,69,12,430.25,583.4665264606017,5803,537,71,32,181.34375,317.9182883791643,5163,1,SSL,11,265.6363636363636,334.67875308808453,3482,20,176,28,124.35714285714286,154.37089249265742,2922,Google
31,94,0,0,1,31.0,0.0,39,39,0,1,39.0,0.0,31,0,DNS,1,94.0,0.0,102,102,0,1,102.0,0.0,94,
207,1179,171,282,2,189.0,18.0,478,227,20,5,95.6,81.97219040625912,378,1,SSL,2,730.5,448.5,1601,20,1199,7,228.71428571428572,407.8923927724475,1461,
29,0,0,0,1,29.0,0.0,37,37,0,1,37.0,0.0,29,0,DNS,0,,,0,0,0,0,,,0,
66,0,0,0,1,66.0,0.0,82,41,41,2,41.0,0.0,66,0,LLMNR,0,,,0,0,0,0,,,0,
48,48,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,1,48.0,0.0,56,56,0,1,56.0,0.0,48,
48,48,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,1,48.0,0.0,56,56,0,1,56.0,0.0,48,
0,0,0,0,0,,,0,0,0,0,,,0,1,HTTP,0,,,128,32,32,4,32.0,0.0,0,
32,128,0,0,1,32.0,0.0,40,40,0,1,40.0,0.0,32,0,DNS,1,128.0,0.0,136,136,0,1,136.0,0.0,128,Google
41,57,0,0,1,41.0,0.0,49,49,0,1,49.0,0.0,41,0,DNS,1,57.0,0.0,65,65,0,1,65.0,0.0,57,
66,0,0,0,1,66.0,0.0,82,41,41,2,41.0,0.0,66,0,LLMNR,0,,,0,0,0,0,,,0,
66,0,0,0,1,66.0,0.0,82,41,41,2,41.0,0.0,66,0,LLMNR,0,,,0,0,0,0,,,0,
48,48,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,1,48.0,0.0,56,56,0,1,56.0,0.0,48,
48,0,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,0,,,0,0,0,0,,,0,
